component_number,component,explained_variance_ratio,cumulative_explained_variance
165,PC165,0.0003429387124054083,0.9856836447953419
166,PC166,0.0003414420074453912,0.9860250868027872
167,PC167,0.00033102399698782547,0.986356110799775
168,PC168,0.00030769291184343684,0.9866638037116184
169,PC169,0.00030645059956543614,0.9869702543111839
170,PC170,0.00029803917898682894,0.9872682934901708
171,PC171,0.0002839364796837534,0.9875522299698545
172,PC172,0.0002725475231606235,0.9878247774930151
173,PC173,0.00026575850828653314,0.9880905360013017
174,PC174,0.000257067493376435,0.9883476034946781
175,PC175,0.00024979866479060453,0.9885974021594687
176,PC176,0.00024460394197114706,0.9888420061014398
177,PC177,0.0002402042254368448,0.9890822103268766
178,PC178,0.0002382701185022728,0.9893204804453789
179,PC179,0.00022713739260972541,0.9895476178379886
180,PC180,0.00022083183173953011,0.9897684496697281
181,PC181,0.00021726811829388338,0.989985717788022
182,PC182,0.00021434188017320526,0.9902000596681952
183,PC183,0.00021104431073810842,0.9904111039789334
184,PC184,0.00020918599565458888,0.990620289974588
185,PC185,0.00019565009032432122,0.9908159400649122
186,PC186,0.00019307542116929236,0.9910090154860816
187,PC187,0.00018744562329749075,0.9911964611093791
188,PC188,0.00018157935496985398,0.991378040464349
189,PC189,0.00017990684967707286,0.991557947314026
190,PC190,0.00017598590146901391,0.9917339332154951
191,PC191,0.00016969876958537324,0.9919036319850805
192,PC192,0.00016165879079694327,0.9920652907758775
193,PC193,0.00015922211048613306,0.9922245128863636
194,PC194,0.00015833985537776316,0.9923828527417413
195,PC195,0.00015145819364173452,0.992534310935383
196,PC196,0.00015032201959807326,0.9926846329549811
197,PC197,0.0001495317763265758,0.9928341647313077
198,PC198,0.00014448555499436776,0.9929786502863021
199,PC199,0.0001346252225432608,0.9931132755088453
200,PC200,0.00013287167996230858,0.9932461471888077
201,PC201,0.00012856301985804424,0.9933747102086657
202,PC202,0.00012571194835779716,0.9935004221570235
203,PC203,0.00012119640445563769,0.9936216185614791
204,PC204,0.00011811417169444993,0.9937397327331736
205,PC205,0.00011649973913580972,0.9938562324723095
206,PC206,0.00011124034550602083,0.9939674728178155
207,PC207,0.00011035225727824302,0.9940778250750938
208,PC208,0.0001075947108675488,0.9941854197859613
209,PC209,0.00010609173039987282,0.9942915115163612
210,PC210,0.00010269268364260482,0.9943942042000038
211,PC211,0.00010072821498990884,0.9944949324149936
212,PC212,9.885585963701435e-05,0.9945937882746306
213,PC213,9.644602072551307e-05,0.9946902342953562
214,PC214,9.396635838531428e-05,0.9947842006537415
215,PC215,9.250923565407657e-05,0.9948767098893956
216,PC216,9.19658340733137e-05,0.9949686757234689
217,PC217,9.103227397152376e-05,0.9950597079974405
218,PC218,9.032916574326367e-05,0.9951500371631837
219,PC219,8.874869883746313e-05,0.9952387858620212
220,PC220,8.624527030224384e-05,0.9953250311323234
221,PC221,8.543604665437016e-05,0.9954104671789777
222,PC222,8.283866499691781e-05,0.9954933058439747
223,PC223,8.225645849665894e-05,0.9955755623024714
224,PC224,8.142724781119003e-05,0.9956569895502826
225,PC225,7.950510259458234e-05,0.9957364946528772
226,PC226,7.790155360651253e-05,0.9958143962064837
227,PC227,7.682914771498482e-05,0.9958912253541987
228,PC228,7.513165644755121e-05,0.9959663570106463
229,PC229,7.370049596855629e-05,0.9960400575066148
230,PC230,7.26203768176518e-05,0.9961126778834325
231,PC231,7.144139020208855e-05,0.9961841192736346
232,PC232,7.133341017637591e-05,0.996255452683811
233,PC233,6.95484339024809e-05,0.9963250011177135
234,PC234,6.919565540134895e-05,0.9963941967731148
235,PC235,6.725838453117887e-05,0.996461455157646
236,PC236,6.603650530673426e-05,0.9965274916629527
237,PC237,6.510144080621333e-05,0.9965925931037589
238,PC238,6.429499709753737e-05,0.9966568881008565
239,PC239,6.362676705457287e-05,0.9967205148679111
240,PC240,6.20727769622499e-05,0.9967825876448734
241,PC241,6.118193423189197e-05,0.9968437695791053
242,PC242,6.0139339123185115e-05,0.9969039089182284
243,PC243,5.9226105967342775e-05,0.9969631350241958
244,PC244,5.8652676478161086e-05,0.997021787700674
245,PC245,5.688041251800801e-05,0.997078668113192
246,PC246,5.61075741506045e-05,0.9971347756873427
247,PC247,5.53859317403782e-05,0.997190161619083
248,PC248,5.474304084612245e-05,0.9972449046599291
249,PC249,5.404209319514706e-05,0.9972989467531242
250,PC250,5.2984725235249126e-05,0.9973519314783595
251,PC251,4.984009990290224e-05,0.9974017715782625
252,PC252,4.9220941109810104e-05,0.9974509925193723
253,PC253,4.850707083148614e-05,0.9974994995902038
254,PC254,4.762415048841865e-05,0.9975471237406922
255,PC255,4.759937780044999e-05,0.9975947231184926
256,PC256,4.541282897764669e-05,0.9976401359474703
257,PC257,4.4962090641788475e-05,0.997685098038112
258,PC258,4.4437416754307586e-05,0.9977295354548663
259,PC259,4.370902376788106e-05,0.9977732444786342
260,PC260,4.299673087659643e-05,0.9978162412095108
261,PC261,4.281682470938789e-05,0.9978590580342203
